Loaded 3382_T.npy: 4918 points
Loaded 4519_T.npy: 4918 points
Loaded 6501_T.npy: 4918 points
Loaded 6758_T.npy: 4918 points
Loaded 7203_T.npy: 4918 points
Loaded 7974_T.npy: 4918 points
Loaded 8306_T.npy: 4918 points
Loaded 9432_T.npy: 4918 points
Loaded 9984_T.npy: 4918 points
Loaded IDX_N225.npy: 4887 points
Total sliding windows: 1339
Train: 1005 samples, Val: 334 samples
Loading model from: model
Froze first 17 of 20 transformer layers
Total params: 231,289,280 | Trainable params: 64,081,360 (27.7%)
Using AdamW optimizer (lr=0.0001, weight_decay=0.01)
Gradient accumulation: 16 steps (effective batch = 128)
LR scheduler: cosine with 5-epoch warmup
  Epoch 24 step 90/126 | loss=0.003484 lr=5.17e-05
  Epoch 24 step 100/126 | loss=0.002903 lr=5.12e-05
  Epoch 24 step 110/126 | loss=0.004364 lr=5.12e-05
  Epoch 24 step 120/126 | loss=0.005957 lr=5.07e-05
Epoch 24 train | loss=0.005562
Epoch 24 val   | loss=0.015896
  Epoch 25 step 10/126 | loss=0.003851 lr=5.02e-05
  Epoch 25 step 20/126 | loss=0.004335 lr=4.98e-05
  Epoch 25 step 30/126 | loss=0.005572 lr=4.98e-05
  Epoch 25 step 40/126 | loss=0.003228 lr=4.93e-05
  Epoch 25 step 50/126 | loss=0.004489 lr=4.88e-05
  Epoch 25 step 60/126 | loss=0.004970 lr=4.88e-05
  Epoch 25 step 70/126 | loss=0.006242 lr=4.83e-05
  Epoch 25 step 80/126 | loss=0.004934 lr=4.78e-05
  Epoch 25 step 90/126 | loss=0.002178 lr=4.78e-05
  Epoch 25 step 100/126 | loss=0.001818 lr=4.73e-05
  Epoch 25 step 110/126 | loss=0.005747 lr=4.73e-05
  Epoch 25 step 120/126 | loss=0.009641 lr=4.68e-05
Epoch 25 train | loss=0.005336
Epoch 25 val   | loss=0.014485
Updated best checkpoint at finetune_japan\checkpoints\run_glia_t2_r2a\best
  Epoch 26 step 10/126 | loss=0.004583 lr=4.63e-05
  Epoch 26 step 20/126 | loss=0.008980 lr=4.58e-05
  Epoch 26 step 30/126 | loss=0.003397 lr=4.58e-05
  Epoch 26 step 40/126 | loss=0.010091 lr=4.53e-05
  Epoch 26 step 50/126 | loss=0.005433 lr=4.48e-05
  Epoch 26 step 60/126 | loss=0.002950 lr=4.48e-05
  Epoch 26 step 70/126 | loss=0.003399 lr=4.43e-05
  Epoch 26 step 80/126 | loss=0.003216 lr=4.38e-05
  Epoch 26 step 90/126 | loss=0.004864 lr=4.38e-05
  Epoch 26 step 100/126 | loss=0.005393 lr=4.33e-05
  Epoch 26 step 110/126 | loss=0.003142 lr=4.33e-05
  Epoch 26 step 120/126 | loss=0.003062 lr=4.28e-05
Epoch 26 train | loss=0.004871
Epoch 26 val   | loss=0.014793
